Group,Area_meters,Area_ha,Beehives,Cattle,cult_meters,cult_ha,DesHouses,DesPrivMills,DesPubMills,Donkeys,FeltFactories,FemaleMonks,Fountain,Goats,GreChuDest,GreChuStanding,Horses,HousesTotal,HousesIntact,ImmFamilies,ImmPop,ChuIntact,Name_Particulare,past_meters,past_ha,Pigs,PlowAnimals,PrivMills,PrivHouseDestr,PubHouseDest,Sheep,Springs,TotalPop,TotNumFamilies,Unused_ha,Unused_meters,vine_meters,vine_ha,Wells,MillsDestroyed,MillsIntact,MillsTotal,Monks,MulberryTrees,NativeFamilies,NativePop,OlivePresses,OliveTrees,RuinedFountains
GR20,17480442.91,1748.044291,75,15,4747984.548,474.7984548,0,0,2,9,1,0,31,300,4,5,21,17,17,0,0,5,"Appartinenze, e Monasterio di S. Michiel Arcangello",10605028.76,1060.502876,0,15,0,0,0,1000,0,67.36,16,190.5916964,1905916.964,221512.6426,22.15126426,0,2,1,3,0,0,16,67.36,0,660,0
GR21,14011561.25,1401.156125,80,50,979923.5141,97.99235141,8,0,0,35,0,0,4,500,9,1,7,54,46,0,0,1,Villa Mauricchi,6442748.631,644.2748631,0,36,0,8,0,1700,0,159.98,38,644.2401054,6442401.054,146488.0464,14.64880464,0,0,1,1,0,1855,38,159.98,0,0,0
GR22,6112486.901,611.2486901,6,25,1497317.426,149.7317426,1,0,0,15,0,0,5,100,2,1,6,12,11,0,0,1,"Villa Pandeleimona, o sia San Pantelon",2306919.671,230.6919671,0,13,0,0,1,800,0,33.68,8,230.8249804,2308249.804,0,0,0,0,0,0,0,90,8,33.68,0,0,0
GR23,14664527.17,1466.452717,30,85,2001667.129,200.1667129,4,0,0,32,0,0,8,800,4,2,9,42,38,0,0,2,Villa Fterri,10637151.06,1063.715106,0,32,0,0,4,2000,0,113.67,27,202.5708988,2025708.988,0,0,0,0,0,0,0,610,27,113.67,0,0,0
GR24,4257882.17,425.788217,0,15,2083732.229,208.3732229,0,0,0,20,0,0,1,100,0,2,0,14,14,8,33.68,2,Villa. S. Zuanne,2174149.885,217.4149885,0,15,0,0,0,300,0,42.1,10,0.00000566,0.0566,0,0,0,0,0,0,0,26,2,8.42,0,60,0
GR25,7616046.842,761.6046842,5,63,2495599.578,249.5599578,7,0,1,10,1,0,2,150,1,1,0,19,12,10,42.1,1,"Villa Crocoua, e Palio-Crocoua",5120447.208,512.0447208,0,15,0,0,7,300,0,42.1,10,0.00000566,0.0566,0,0,0,1,1,2,0,1,0,0,0,0,0
GR26,3193033.779,319.3033779,10,40,3193033.779,319.3033779,5,0,0,30,0,0,2,100,0,1,10,25,20,15,63.15,1,Trano Zeogolatio,0,0,0,10,0,0,5,200,0,63.15,15,0,0,0,0,0,0,0,0,0,32,0,0,0,96,0
GR27,7204164.378,720.4164378,37,125,7204164.378,720.4164378,7,0,0,31,0,0,0,150,2,2,0,49,42,23,96.83,2,"Tarrazza Pano Abitata, Tarrazza Catto Disabitato, Caragmati, Temigni Panu, Temigni Catto tu Dirogli, e Muftiri desabitato tutti sotto un Sol Confine",0,0,0,40,0,0,7,200,0,109.46,26,0,0,0,0,2,0,0,0,0,85,3,12.63,0,0,0
GR28,1330115.846,133.0115846,50,19,1042931.743,104.2931743,0,0,0,19,0,0,2,0,0,1,0,20,20,13,54.73,1,Rizomilo Zeogolatio,287184.1032,28.71841032,0,10,0,0,0,0,0,54.73,13,0,0,0,0,0,0,1,1,0,25,0,0,0,0,0
GR29,2637256.917,263.7256917,15,52,389663.4696,38.96634696,0,0,0,5,0,0,1,200,1,2,25,0,0,4,16.84,2,"Villa Gardena, e Monasterio di Ierusaleme",2247593.447,224.7593447,0,8,0,0,0,600,0,16.84,4,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
GR30,10660576.19,1066.057619,2,8,1399584.126,139.9584126,0,0,0,8,0,0,1,100,1,0,4,10,10,8,33.68,0,Villa Bucuschia a Cattu,7726824.295,772.6824295,0,8,0,0,0,200,0,33.68,8,153.4167766,1534167.766,0,0,0,0,0,0,0,170,0,0,0,70,0
GR31,4987934.424,498.7934424,0,0,858604.8689,85.86048689,0,0,0,2,1,0,1,0,1,0,0,1,1,0,0,0,Villa Bucuschia Panno,3303675.202,330.3675202,0,0,0,0,0,0,0,4.21,1,82.56543533,825654.3533,0,0,0,0,1,1,0,30,1,4.21,0,150,0
GR32,9525745.511,952.5745511,2,34,2814863.658,281.4863658,4,0,0,18,0,0,13,200,4,1,9,29,25,0,0,1,Villa Mamusa,3637035.518,363.7035518,50,16,0,0,4,800,0,67.36,16,307.3846335,3073846.335,0,0,0,0,0,0,0,20,16,67.36,0,15,0
GR33,61533728.57,6153.372857,270,134,11619471.79,1161.947179,119,0,7,128,3,0,26,1540,25,24,52,336,217,23,96.83,24,"Villa Diacofto, e sua appartinenze",32684047.88,3268.404788,0,183,0,0,119,2043,0,639.92,152,1672.670567,16726705.67,503503.2338,50.35032338,1,7,5,12,0,56227,129,543.09,1,2307,0
GR34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GR35,18545140.16,1854.514016,31,60,12578545.79,1257.854579,20,0,1,42,0,0,4,123,13,3,12,56,36,7,29.47,3,"Villa Porovizza, Pirgo, e Plessa tutte sotto lo stesso Confine",4390455.411,439.0455411,0,53,0,0,20,324,0,134.72,32,146.4261109,1464261.109,111877.8455,11.18778455,0,1,2,3,0,356,25,105.25,0,88,0
